code,extended_name,rel_city_code,is_airport,state_code,rel_country_code,rel_region_code,city_name
mbf,mount buffalo/vi/au,mbf,y,vi,au,austl,mount buffalo
mbg,mobridge/sd/us,mbg,y,sd,us,namer,mobridge
mbh,maryborough/ql/au,mbh,y,ql,au,austl,maryborough
mbi,mbeya/tz,mbi,y,,tz,afric,mbeya
mbj,montego bay/jm:sangster intl,mbj,y,,jm,carib,montego bay
mbk,matupa/mt/br,mbk,y,mt,br,samer,matupa
mbl,manistee/mi/us:blacker,mbl,y,mi,us,namer,manistee
mbm,mkambati/za,mbm,y,,za,afric,mkambati
mbn,mt barnett/wa/au,mbn,y,wa,au,austl,mt barnett
mbo,mamburao/ph,mbo,y,,ph,pacif,mamburao
mbp,moyobamba/pe,mbp,y,,pe,samer,moyobamba
mbq,mbarara/ug,mbq,y,,ug,afric,mbarara
mbr,mbout/mr,mbr,y,,mr,afric,mbout
mbs,saginaw/mi/us:tri city,mbs,y,mi,us,namer,saginaw
mbt,masbate/ph,mbt,y,,ph,pacif,masbate
mbu,mbambanakira/sb,mbu,y,,sb,austl,mbambanakira
mbv,masa/pg,mbv,y,,pg,austl,masa
mbw,moorabbin/vi/au,mbw,y,vi,au,austl,moorabbin
mbx,maribor/si,mbx,y,,si,europ,maribor
mby,moberly/mo/us,mby,y,mo,us,namer,moberly
mbz,maues/am/br,mbz,y,am,br,samer,maues
mca,macenta/gn,mca,y,,gn,afric,macenta
mcb,mccomb/ms/us:pike county,mcb,y,ms,us,namer,mccomb
mcc,sacramento/ca/us:mcclellan afb,sac,y,ca,us,namer,sacramento
mcd,mackinac island/mi/us,mcd,y,mi,us,namer,mackinac island
mce,merced/ca/us:macready regional,mce,y,ca,us,namer,merced
mcf,tampa/fl/us:mac dill afb,tpa,y,fl,us,namer,tampa
mcg,mcgrath/ak/us,mcg,y,ak,us,namer,mcgrath
mch,machala/ec,mch,y,,ec,samer,machala
mci,kansas city/mo/us:intl,mkc,y,mo,us,namer,kansas city
mcj,maicao/co,mcj,y,,co,samer,maicao
mck,mccook/ne/us,mck,y,ne,us,namer,mccook
