TZ_GROUP,REL_COUNTRY_CODE,YEAR,DIFFER_GMT,DIFFER_SIGN,DAYLIGHT_SAVINGS,ED,DD,ED_STATUS,DD_STATUS,HEMISPHERE
096,SM,2007,4,P,4,25/03/2007 01:00:00,28/10/2007 01:00:00,V,V,N
096,SM,2008,4,P,4,30/03/2008 01:00:00,26/10/2008 01:00:00,V,V,N
,SN,2007,0,P,0,,,V,V,N
,SN,2008,0,P,0,,,V,V,N
,SO,2007,12,P,0,,,V,V,N
,SO,2008,12,P,0,,,V,V,N
,SR,2007,12,N,0,,,V,V,N
,SR,2008,12,N,0,,,V,V,N
,ST,2007,0,P,0,,,V,V,N
,ST,2008,0,P,0,,,V,V,N
,SV,2007,24,N,0,,,V,V,N
,SV,2008,24,N,0,,,V,V,N
098,SY,2007,8,P,4,30/03/2007 22:00:00,31/10/2007 21:00:00,V,V,N
098,SY,2008,8,P,4,31/03/2008 22:00:00,30/09/2008 21:00:00,V,V,N
,SZ,2007,8,P,0,,,V,V,S
,SZ,2008,8,P,0,,,V,V,S
099,TC,2007,20,N,4,01/04/2007 05:00:00,28/10/2007 04:00:00,V,V,N
099,TC,2008,20,N,4,06/04/2008 05:00:00,26/10/2008 04:00:00,V,V,N
,TD,2007,4,P,0,,,V,V,N
,TD,2008,4,P,0,,,V,V,N
,TG,2007,0,P,0,,,V,V,N
,TG,2008,0,P,0,,,V,V,N
,MO,2006,32,P,0,,,V,V,N
,MP,2005,40,P,0,,,V,V,N
136,TJ,2007,20,P,0,,,V,V,N
136,TJ,2008,20,P,0,,,V,V,N
,TL,2007,36,P,0,,,V,V,S
,TL,2008,36,P,0,,,V,V,S
137,TM,2007,20,P,0,,,V,V,N
137,TM,2008,20,P,0,,,V,V,N
100,TN,2007,4,P,4,25/03/2007 01:00:00,28/10/2007 01:00:00,V,V,N
100,TN,2008,4,P,4,30/03/2008 01:00:00,26/10/2008 01:00:00,V,V,N
173,TO,2007,52,P,0,,,V,V,S
173,TO,2008,52,P,0,,,V,V,S
101,TR,2007,8,P,4,25/03/2007 01:00:00,28/10/2007 01:00:00,V,V,N
101,TR,2008,8,P,4,30/03/2008 01:00:00,26/10/2008 01:00:00,V,V,N
,TT,2007,16,N,0,,,V,V,N
,TT,2008,16,N,0,,,V,V,N
,TV,2007,48,P,0,,,V,V,N
,TV,2008,48,P,0,,,V,V,N
,TW,2007,32,P,0,,,V,V,N
,TW,2008,32,P,0,,,V,V,N
,TZ,2007,12,P,0,,,V,V,S
,TZ,2008,12,P,0,,,V,V,S
127,UA,2007,8,P,4,25/03/2007 01:00:00,28/10/2007 01:00:00,V,V,N
127,UA,2008,8,P,4,30/03/2008 01:00:00,26/10/2008 01:00:00,V,V,N
,UG,2007,12,P,0,,,V,V,N
,UG,2008,12,P,0,,,V,V,N
102,UM,2007,40,N,0,,,V,V,S
102,UM,2008,40,N,0,,,V,V,S
103,UM,2007,44,N,0,,,V,V,S
103,UM,2008,44,N,0,,,V,V,S
104,UM,2007,48,N,0,,,V,V,S
104,UM,2008,48,N,0,,,V,V,S
,MP,2006,40,P,0,,,V,V,N
,MQ,2005,16,N,0,,,V,V,N
,MQ,2006,16,N,0,,,V,V,N
,MR,2005,0,P,0,,,V,V,N
108,US,2007,28,N,4,11/03/2007 09:00:00,04/11/2007 08:00:00,V,V,N
108,US,2008,28,N,4,09/03/2008 09:00:00,02/11/2008 08:00:00,V,V,N
109,US,2007,28,N,0,,,V,V,N
109,US,2008,28,N,0,,,V,V,N
110,US,2007,32,N,4,11/03/2007 10:00:00,04/11/2007 09:00:00,V,V,N
110,US,2008,32,N,4,09/03/2008 10:00:00,02/11/2008 09:00:00,V,V,N
111,US,2007,36,N,4,11/03/2007 11:00:00,04/11/2007 10:00:00,V,V,N
