CODE,TICKETING_NAME,TELETICKETING_NAME,EXTENDED_NAME,REL_CITY_CODE,IS_AIRPORT,STATE_CODE,REL_COUNTRY_CODE,REL_REGION_CODE,REL_CONTINENT_CODE,REL_TIME_ZONE_GRP,LONGITUDE,LATITUDE,NUMERIC_CODE,IS_COMMERCIAL,CITY_NAME
ZLC,WAEDENSWIL,WAEDENSWIL,WAEDENSWIL/CH:OFF-,ZLC,N,,CH,EUROP,ITC2,CH032,,,,N,WAEDENSWIL
ZLD,WEINFELDEN,WEINFELDEN,WEINFELDEN/CH:OFF-,ZLD,N,,CH,EUROP,ITC2,CH032,,,,N,WEINFELDEN
ZLE,WENGEN,WENGEN,WENGEN/CH:WENGEN,ZLE,Y,,CH,EUROP,ITC2,CH032,7.933,46.6,,N,WENGEN
ZLF,WETTINGEN,WETTINGEN,WETTINGEN/CH:OFF-,ZLF,N,,CH,EUROP,ITC2,CH032,,,,N,WETTINGEN
ZLG,EL GOUERA,EL GOUERA,EL GOUERA/MR,ZLG,Y,,MR,AFRIC,ITC2,MR,-17.08,20.85,5842,N,EL GOUERA
ZLH,WIL,WIL,WIL/CH:OFF-,ZLH,N,,CH,EUROP,ITC2,CH032,,,,N,WIL
ZLI,WINTERTHUR,WINTERTHUR,WINTERTHUR/CH:OFF-,ZLI,N,,CH,EUROP,ITC2,CH032,,,,N,WINTERTHUR
ZLJ,YVERDON,YVERDON,YVERDON/CH:OFF-,ZLJ,N,,CH,EUROP,ITC2,CH032,,,,N,YVERDON
ZLK,ST PETERSBURG,ST PETERSBURG,ST PETERSBURG/RU:MOSCOVSKIY RA,LED,Y,,RU,EURAS,ITC2,RU130,30.05,59.95,,N,ST PETERSBURG
ZLL,ZOFINGEN,ZOFINGEN,ZOFINGEN/CH:OFF-,ZLL,N,,CH,EUROP,ITC2,CH032,,,,N,ZOFINGEN
ZLM,ZUG,ZUG,ZUG/CH:OFF-,ZLM,N,,CH,EUROP,ITC2,CH032,,,,N,ZUG
ZLN,LE MANS RAILWAY,LE MANS RAILWAY,LE MANS/FR:RAILWAY STATION,LME,Y,,FR,EUROP,ITC2,FR052,1.25,48,,Y,LE MANS
ZLO,MANZANILLO,MANZANILLO,MANZANILLO/MX,ZLO,Y,,MX,NAMER,ITC1,MX168,-104.3,19.12,5843,Y,MANZANILLO
ZLP,ZURICH HP,ZURICH HP,ZURICH/CH:HBF RAILWAY STATION,ZRH,Y,,CH,EUROP,ITC2,CH032,7.5,46.92,,N,ZURICH HP
