Export data from the tables of Geonames:
alternateName	alternateName	geonameid	name	latitude	longitude	country	fcode	population	timezone	alternatenames
PHW	FAPH	996937	Hendrik Van Eck Airport	-23.9371700	31.1553900	ZA	AIRP	0	Africa/Johannesburg	FAPH,Hendrik Van Eck Airport,Hendrik van Eck,PHW,Phalaborwa
PLZ	FAPE	996962	Port Elizabeth Airport	-33.9849200	25.6172800	ZA	AIRP	0	Africa/Johannesburg	FAPE,H. F. Verwoerd,PLZ
GRJ	FAGG	1002148	George	-34.0055500	22.3788900	ZA	AIRP	0	Africa/Johannesburg	FAGG,GRJ
ELS	FAEL	1020088	East London Airport	-33.0357200	27.8264800	ZA	AIRP	0	Africa/Johannesburg	Ben Schoeman,ELS,FAEL
KIM	FAKM	1021328	Kimberly Airport	-28.8028300	24.7651700	ZA	AIRP	0	Africa/Johannesburg	B.J. Vorster Airport,FAKM,KIM
TMM	FMMT	1055977	Tamatave	-18.1095200	49.3925400	MG	AIRP	0	Indian/Antananarivo	FMMT,TMM
MOQ	FMMV	1058382	Morondava	-20.2833300	44.3166700	MG	AIRP	0	Indian/Antananarivo	FMMV,MOQ
MXM	FMSR	1058391	Morombe	-21.7500000	43.3666700	MG	AIRP	0	Indian/Antananarivo	FMSR,MXM
MXT	FMMO	1061913	Maintirano	-18.0500000	44.0333300	MG	AIRP	0	Indian/Antananarivo	FMMO,MXT
TNR	FMMI	1063859	Ivato Airport	-18.7969500	47.4788100	MG	AIRP	0	Indian/Antananarivo	FMMI,Ivato,Ivato Airport,TNR
WFI	FMSF	1064891	Fianarantsoa	-21.4333300	47.1000000	MG	AIRP	0	Indian/Antananarivo	FMSF,WFI
RVA	FMSG	1065160	Farafangana	-22.8000000	47.8166700	MG	AIRP	0	Indian/Antananarivo	FMSG,RVA
BPY	FMNQ	1066703	Besalampy	-16.7333300	44.4666700	MG	AIRP	0	Indian/Antananarivo	BPY,FMNQ
ATJ	FMME	1069186	Antsirabe	-19.8333300	47.0666700	MG	AIRP	0	Indian/Antananarivo	ATJ,FMME
DIE	FMNA	1075634	Andrakaka	-12.3494000	49.2917500	MG	AIRP	0	Indian/Antananarivo	DIE,FMNA
MZB	FQMP	1085265	Mocimboa da Praia	-11.3575000	40.3566700	MZ	AIRP	0	Africa/Maputo	FQMP,MZB
VXC	FQLC	1087469	Lichinga	-13.2752800	35.2666700	MZ	AIRP	0	Africa/Maputo	FQLC,VXC
APL	FQNP	1092770	Nampula	-15.1063900	39.2925000	MZ	AIRP	0	Africa/Maputo	APL,FQNP
UEL	FQQL	1095978	Quelimane Airport	-17.8555000	36.8691100	MZ	AIRP	0	Africa/Maputo	FQQL,Port lotniczy Quelimane,Quelimane,Quelimane Airport,UEL
BEW	FQBR	1098915	Beira	-19.7933300	34.9188900	MZ	AIRP	0	Africa/Maputo	BEW,FQBR
VNX	FQVL	1099900	Vilanculos	-22.0177800	35.3122200	MZ	AIRP	0	Africa/Maputo	FQVL,VNX
INH	FQIN	1103279	Inhambane	-23.8764300	35.4085400	MZ	AIRP	0	Africa/Maputo	FQIN,INH
BUQ	FVBU	1105968	Bulawayo Airport	-20.0174300	28.6178700	ZW	AIRP	0	Africa/Harare	BUQ,FVBU
MPM	FQMA	1106276	Aeroporto Internacional de Mavalane	-25.9208400	32.5726100	MZ	AIRP	0	Africa/Maputo	Aeroporto Internacional de Maputo,FQMA,MPM
HRE	FVHA	1106437	Harare International Airport	-17.9318100	31.0928500	ZW	AIRP	0	Africa/Harare	FVHA,HRE,Harare International Airport
MRU	FIMP	1106588	Sir Seewoosagur Ramgoolam International Airport	-20.4302400	57.6836000	MU	AIRP	0	Indian/Mauritius	FIMP,MRU,Mauritius Airport,Plaisance Airport
MAQ	VTPM	1115776	Sanam Bin Mae Sot	16.6997800	98.5450800	TH	AIRP	0	Asia/Bangkok	MAQ,Nds Mae Sot,Sanam Bin Mae Sot,VTPM,สนามบินแม่สอด
NST	VTSN	1115884	Nakhon Si Thammarat	8.4666700	99.9500000	TH	AIRP	0	Asia/Bangkok	NST,VTSN
HGN	VTCH	1116039	Sanam Bin Mae Hong Son	19.3022900	97.9736000	TH	AIRP	0	Asia/Bangkok	HGN,Mae Hong Son,Sanam Bin Mae Hong Son,VTCH,สนามบินแม่ฮ่องสอน
LPT	VTCL	1116136	Lampang	18.2666700	99.5166700	TH	AIRP	0	Asia/Bangkok	LPT,VTCL
CNX	VTCC	1116869	Chiang Mai	18.7666700	98.9666700	TH	AIRP	0	Asia/Bangkok	CNX,VTCC
GAU	VEGT	1271477	Guwāhāti	26.1060900	91.5859400	IN	AIRP	0	Asia/Kolkata	GAU,Gauhati,Gauhāti,Guwahati International,Guwāhāti International,Kahikuchi,LGB International,Lokapriya Gopinath Bordoloi International,VEGT
