code,ticketing_name,teleticketing_name,extended_name,rel_city_code,is_airport,state_code,rel_country_code,rel_region_code,rel_continent_code,rel_time_zone_grp,longitude,latitude,numeric_code,is_commercial,city_name,
bns,barinas,barinas,barinas/ve,bns,y,,ve,samer,itc1,ve,-70.22,8.617,608,y,barinas,
bnt,bundi,bundi,bundi/pg,bnt,y,,pg,austl,itc3,pg,145.2,-5.733,609,n,bundi,
bnu,blumenau,blumenau,blumenau/sc/br,bnu,y,sc,br,samer,itc1,br015,-49.05,-26.93,,n,blumenau,
bnv,boana,boana,boana/pg,bnv,y,,pg,austl,itc3,pg,146.8,-6.417,610,n,boana,
bnw,boone,boone,boone/ia/us,bnw,y,ia,us,namer,itc1,us107,-93.88,42.07,,n,boone,
bnx,banja luka,banja luka,banja luka/ba,bnx,y,,ba,europ,itc2,ba154,17.18,44.77,,y,banja luka,
bny,bellona,bellona,bellona/sb,bny,y,,sb,austl,itc3,sb,159.8,-11.3,611,y,bellona,
bnz,banz,banz,banz/pg,bnz,y,,pg,austl,itc3,pg,144.6,-5.783,612,n,banz,
boa,boma,boma,boma/cd,boa,y,,cd,afric,itc2,cd166,13.07,-5.817,613,n,boma,
bob,bora bora,bora bora,bora bora/pf:motu-mute,bob,y,,pf,pacif,itc3,pf087,-151.8,-16.43,614,y,bora bora,
boc,bocas del toro,bocas del toro,bocas del toro/pa,boc,y,,pa,camer,itc1,pa,-82.25,9.35,615,y,bocas del toro,
bod,bordeaux,bordeaux,bordeaux/fr:merignac,bod,y,,fr,europ,itc2,fr052,-0.7167,44.83,616,y,bordeaux,
boe,boundji,boundji,boundji/cg,boe,y,,cg,afric,itc2,cg,15.38,-1.033,617,n,boundji,
bof,washington afb,washington afb,washington/dc/us:bolling afb,was,y,dc,us,namer,itc1,us105,-77.02,38.84,,n,washington,
bog,bogota,bogota,bogota/co:eldorado,bog,y,,co,samer,itc1,co132,-74.15,4.7,618,y,bogota,
boh,bournemouth,bournemouth,bournemouth/gb:intl,boh,y,,gb,europ,itc2,gb053,-1.833,50.78,619,y,bournemouth,
boi,boise,boise,boise/id/us:air term gowen fld,boi,y,id,us,namer,itc1,us108,-116.2,43.57,620,y,boise,
boj,bourgas,bourgas,bourgas/bg,boj,y,,bg,eeuro,itc2,bg013,27.5,42.57,621,y,bourgas,
bok,brookings,brookings,brookings/or/us:brookings stat,bok,y,or,us,namer,itc1,us110,-124.3,42.05,622,n,brookings,
bol,bally kelly,bally kelly,bally kelly/gb,bol,y,,gb,europ,itc2,gb053,-1.5,52.42,,n,bally kelly,
bom,mumbai,mumbai,mumbai/in:chhatrapati shivaji,bom,y,,in,asia,itc3,in,72.87,18.93,,y,mumbai,
bon,bonaire,bonaire,bonaire/an:flamingo intl,bon,y,,an,carib,itc1,an,-68.28,12.13,,y,bonaire,
boo,bodo,bodo,bodo/no,boo,y,,no,europ,itc2,no083,14.37,67.27,625,y,bodo,
bop,bouar,bouar,bouar/cf,bop,y,,cf,afric,itc2,cf,15.63,5.967,626,n,bouar,
boq,boku,boku,boku/pg,boq,y,,pg,austl,itc3,pg,155.2,-6.267,627,n,boku,
bor,belfort,belfort,belfort/fr:fontaine,bor,y,,fr,europ,itc2,fr052,7.017,47.65,628,n,belfort,
bos,boston logan int,boston logan in,boston/ma/us:logan intl,bos,y,ma,us,namer,itc1,us105,-71,42.37,629,y,boston,
bot,boset,boset,boset/pg,bot,y,,pg,austl,itc3,pg,147.1,-9.5,,n,boset,
bou,bourges,bourges,bourges/fr,bou,y,,fr,europ,itc2,fr052,2.367,47.07,630,n,bourges,
bov,boang,boang,boang/pg,bov,y,,pg,austl,itc3,pg,153.3,-3.367,631,n,boang,
bow,bartow,bartow,bartow/fl/us,bow,y,fl,us,namer,itc1,us105,-81.78,27.93,632,n,bartow,
box,borroloola,borroloola,borroloola/nt/au,box,y,nt,au,austl,itc3,au010,136.3,-16.08,633,n,borroloola,
boy,bobo dioulasso,bobo dioulasso,bobo dioulasso/bf:borgo,boy,y,,bf,afric,itc2,bf,-4.317,11.17,634,y,bobo dioulasso,
boz,bozoum,bozoum,bozoum/cf,boz,y,,cf,afric,itc2,cf,16.38,6.317,,n,bozoum,
bpa,bethpage,bethpage,bethpage/ny/us:grumman,bpa,y,ny,us,namer,itc1,us105,-73.48,40.75,,n,bethpage,
bpb,boridi,boridi,boridi/pg,bpb,y,,pg,austl,itc3,pg,147.5,-9.133,,n,boridi,
bpc,bamenda,bamenda,bamenda/cm,bpc,y,,cm,afric,itc2,cm,10.12,6.05,,n,bamenda,
bpd,bapi,bapi,bapi/pg,bpd,y,,pg,austl,itc3,pg,147,-7.75,,n,bapi,
bpe,bagan,bagan,bagan/mm,bpe,y,,mm,seasi,itc3,mm,96,24,,n,bagan,
bpf,batuna,batuna,batuna/sb:batuna aerodrome,bpf,y,,sb,austl,itc3,sb,158.1,-8.583,,n,batuna,
bpg,barra do garcas,barra do garcas,barra do garcas/mt/br,bpg,y,mt,br,samer,itc1,br018,-52.38,-15.85,,n,barra do garcas,
bph,bislig,bislig,bislig/ph,bph,y,,ph,pacif,itc3,ph,126.4,8.2,635,n,bislig,
bpi,big piney,big piney,big piney/wy/us:marbleton,bpi,y,wy,us,namer,itc1,us108,-110.1,42.58,,n,big piney,
bpk,biangabip,biangabip,biangabip/pg,bpk,n,,pg,austl,itc3,pg,141.7,-5.53,,n,biangabip,
bpn,balikpapan,balikpapan,balikpapan/id:sepingan,bpn,y,,id,seasi,itc3,id062,116.9,-1.267,636,y,balikpapan,
bps,porto seguro,porto seguro,porto seguro/ba/br,bps,y,ba,br,samer,itc1,br016,-39.08,-16.43,637,y,porto seguro,
bpt,beaumont ptarthur,beaumont ptarth,beaumont/tx/us:jefferson cnty,bpt,y,tx,us,namer,itc1,us107,-94.02,29.95,638,y,beaumont,
bpu,beppu,beppu,beppu/jp,bpu,y,,jp,asia,itc3,jp,131.5,33.3,639,n,beppu,
bpx,bangda,bangda,bangda/cn:bangda airport,bpx,y,,cn,asia,itc3,cn035,97.11,30.56,,y,bangda,
bpy,besalampy,besalampy,besalampy/mg,bpy,y,,mg,afric,itc2,mg,44.48,-16.75,640,n,besalampy,
bqa,baler,baler,baler/ph,bqa,y,,ph,pacif,itc3,ph,121.6,15.77,,n,baler,
bqb,bussellton,bussellton,bussellton/wa/au:bussellton,bqb,y,wa,au,austl,itc3,au011,115.3,-33.72,0,n,bussellton,
bqe,bubaque,bubaque,bubaque/gw,bqe,y,,gw,afric,itc2,gw,-15.85,11.3,,n,bubaque,
bqh,biggin hill,biggin hill,london/gb:biggin hill,lon,y,,gb,europ,itc2,gb053,0.2333,51.88,,y,london,
bqi,bagani,bagani,bagani/na,bqi,y,,na,afric,itc2,na004,21.62,-18.12,,n,bagani,
bqk,brunswick bqk,brunswick bqk,brunswick/ga/us:glynco jetport,ssi,y,ga,us,namer,itc1,us105,-81.45,31.25,642,y,brunswick,
bql,boulia,boulia,boulia/ql/au,bql,y,ql,au,austl,itc3,au131,140,-22.97,643,y,boulia,
bqn,aguadilla,aguadilla,aguadilla/pr:borinquen,bqn,y,,pr,carib,itc1,pr,-67.15,18.42,644,y,aguadilla,
bqo,bouna,bouna,bouna/ci,bqo,y,,ci,afric,itc2,ci,-3,9.267,645,n,bouna,
bqq,barra,barra,barra/ba/br,bqq,y,ba,br,samer,itc1,br016,-43.17,-11.07,646,n,barra,
bqs,blagoveschensk,blagoveschensk,blagoveschensk/ru,bqs,y,,ru,euras,itc2,ru145,127.4,50.42,,y,blagoveschensk,
bqt,brest,brest,brest/by,bqt,y,,by,euras,itc2,by129,23.88,52.12,,n,brest,
bqu,port elizabeth,port elizabeth,port elizabeth/vc:bequila apt,bqu,y,,vc,carib,itc1,vc,-61.27,13,,n,port elizabeth,
bqv,gustavus spb,gustavus spb,gustavus/ak/us:bartlett spb,gst,y,ak,us,namer,itc1,us111,-135.7,58.43,647,n,gustavus,
bqw,balgo hills,balgo hills,balgo hills/wa/au,bqw,y,wa,au,austl,itc3,au011,127.8,-20.13,648,n,balgo hills,
bra,barreiras,barreiras,barreiras/ba/br,bra,y,ba,br,samer,itc1,br016,-45,-12.05,649,y,barreiras,
