acl,,,y,y,n,n,,co,samer,itc1,co132,-73,4.75,4.75,-73,ACL,Aguaclara,CO
acm,,,y,y,n,n,,co,samer,itc1,co132,-71.78,-2.133,-2.133,-71.78,ACM,Arica,CO
acn,,,y,y,n,n,,mx,namer,itc1,mx168,-100.9,29.3,29.3,-100.9,ACN,Ciudad Ac Ciudad Acuna Intl,MX
aco,,,y,y,n,n,,ch,europ,itc2,ch032,8.767,46.15,46.15,8.767,ACO,Ascona,CH
acp,,,y,y,n,y,,ir,meast,itc2,ir120,46.15,37.35,37.35,46.15,ACP,Sahand Sahand Airport,IR
acr,,,y,y,n,n,,co,samer,itc1,co132,-72.3,-0.3833,-0.3833,-72.3,ACR,Araracuara,CO
acs,,,y,y,n,n,,ru,euras,itc2,ru143,90.57,56.27,56.27,90.57,ACS,Achinsk,RU
act,,,y,y,n,y,tx,us,namer,itc1,us107,-97.23,31.62,31.611289,-97.230519,ACT,Waco Waco Mnpl,US
acu,,,y,y,n,n,,pa,camer,itc1,pa,-77.97,8.433,8.433,-77.97,ACU,Achutupo,PA
acv,,,y,y,n,y,ca,us,namer,itc1,us110,-124.1,40.98,40.978111,-124.108611,ACV,Arcata Eureka,US
acx,,,y,y,n,y,,cn,asia,itc3,cn035,104.9,25.08,40.05,116.6,ACX,Xingyi Xingyi,CN
acy,aiy,,y,n,n,y,nj,us,namer,itc1,us105,-74.58,39.47,39.457583,-74.577167,AIY,Atlantic City Bader Fiel,US
acz,,,y,y,n,y,,ir,meast,itc2,ir120,61.54,31.09,31.09,61.54,ACZ,Zabol Zabol Airport,IR
ada,,,y,y,n,y,,tr,euras,itc2,tr101,35.28,36.98,36.982166,35.280388,ADA,Adana,TR
adb,izm,,y,n,n,y,,tr,euras,itc2,tr101,27.17,38.28,38.292392,27.156953,IZM,Izmir,TR
adc,,,n,y,n,n,,pg,austl,itc3,pg,154.7,-7.141,-7.141,154.7,ADC,Andakombe,PG
add,,,y,y,n,y,,et,afric,itc2,et,38.8,8.983,8.977889,38.799319,ADD,Addis Ababa Bole,ET
ade,,,y,y,n,y,,ye,meast,itc2,ye,45.03,12.83,12.829542,45.028792,ADE,Aden International,YE
adf,,,y,y,n,y,,tr,euras,itc2,tr101,38.46,37.73,37.73,38.46,ADF,Adiyaman Adiyaman,TR
adg,,,y,y,n,n,mi,us,namer,itc1,us105,-84.03,41.9,41.9,-84.03,ADG,Adrian Lenawee County,US
