concat(code, ',,,', is_airport, ',y,n,', is_commercial, ',')	trim(state_code)	concat(',', rel_country_code, ',', rel_region_code, ',', rel_continent_code, ',', rel_time_zone_grp, ',')	longitude	,	latitude	,
ady,,,y,y,n,n,		,za,afric,itc2,za,	29.1	,	-22.67	,
adz,,,y,y,n,y,		,co,samer,itc1,co132,	-81.7	,	12.58	,
aea,,,y,y,n,n,		,ki,austl,itc3,ki069,	173.9	,	0.4833	,
aeb,,,y,y,n,n,		,cn,asia,itc3,cn035,	107	,	23.72	,
aed,,,y,y,n,n,	ak	,us,namer,itc1,us111,	-152.9	,	58.03	,
aee,,,y,y,n,n,		,sd,afric,itc2,sd172,	32.95	,	10.06	,
aeg,,,y,y,n,n,		,id,seasi,itc3,id061,	99.45	,	1.383	,
aeh,,,y,y,n,y,		,td,afric,itc2,td,	20.85	,	13.85	,
aei,,,y,y,n,n,		,es,europ,itc2,es045,	-5.45	,	36.18	,
aek,,,y,y,n,n,		,pg,austl,itc3,pg,	146.3	,	-7.367	,
ael,,,y,y,n,n,	mn	,us,namer,itc1,us107,	-93.37	,	43.68	,
aeo,,,y,y,n,n,		,mr,afric,itc2,mr,	-9.65	,	16.7	,
aep,bue,,y,n,n,y,	ba	,ar,samer,itc1,ar003,	-58.37	,	-34.57	,
aer,,,y,y,n,y,		,ru,euras,itc2,ru130,	39.93	,	43.45	,
aes,,,y,y,n,y,		,no,europ,itc2,no083,	6.1	,	62.55	,
aet,,,y,y,n,y,	ak	,us,namer,itc1,us111,	-152.7	,	66.55	,
aeu,,,y,y,n,n,		,ir,meast,itc2,ir120,	55.03	,	25.88	,
aex,,,y,y,n,y,	la	,us,namer,itc1,us107,	-92.3	,	31.4	,
aey,,,y,y,n,y,		,is,europ,itc2,is,	-18.08	,	65.65	,
afa,,,y,y,n,y,	md	,ar,samer,itc1,ar003,	-68.4	,	-34.58	,
afd,,,y,y,n,n,		,za,afric,itc2,za,	26.88	,	-33.58	,
aff,cos,,y,n,n,n,	co	,us,namer,itc1,us108,	-105.9	,	37.43	,
afi,,,y,y,n,n,		,co,samer,itc1,co132,	-75.07	,	6.917	,
