concat(code, ',,,', is_airport, ',y,n,', is_commercial, ',')	trim(state_code)	concat(',', rel_country_code, ',', rel_region_code, ',', rel_continent_code, ',', rel_time_zone_grp, ',')	longitude	,	latitude	,
pht,,,y,y,n,n,	tn	,us,namer,itc1,us107,	-88.38	,	36.33	,
phu,,,y,y,n,n,		,vn,seasi,itc3,vn,	106.8	,	11.28	,
phw,,,y,y,n,y,		,za,afric,itc2,za,	31.12	,	-23.98	,
phx,,,y,y,n,y,	az	,us,namer,itc1,us109, -112.017081 , 33.427799 ,
phy,,,y,y,n,n,		,th,seasi,itc3,th,	101.2	,	16.68	,
phz,,,y,y,n,n,		,th,seasi,itc3,th,	98.77	,	7.733	,
pia,,,y,y,n,y,	il	,us,namer,itc1,us107,	-89.68	,	40.67	,
pib,lul,,y,n,n,y,	ms	,us,namer,itc1,us107,	-89.13	,	31.68	,
pic,,,y,y,n,n,		,tc,carib,itc1,tc099,	-71.98	,	21.92	,
pid,nas,,y,n,n,n,		,bs,carib,itc1,bs021,	-77.3	,	25.08	,
pie,tpa,,y,n,n,y,	fl	,us,namer,itc1,us105,	-82.68	,	27.92	,
pif,,,y,y,n,y,		,tw,asia,itc3,tw,	120.5	,	22.67	,
pig,,,y,y,n,n,	am	,br,samer,itc1,br018,	-60.07	,	0.7833	,
pih,,,y,y,n,y,	id	,us,namer,itc1,us108,	-112.6	,	42.92	,
pii,fai,,y,n,n,n,	ak	,us,namer,itc1,us111,	-147.9	,	64.82	,
pik,gla,,y,n,n,y,		,gb,europ,itc2,gb053,	-4.583	,	55.5	,
pil,,,y,y,n,n,		,py,samer,itc1,py093,	-58.32	,	-26.85	,
pim,,,y,y,n,n,	ga	,us,namer,itc1,us105,	-84.85	,	32.83	,
pin,,,y,y,n,y,	am	,br,samer,itc1,br018,	-56.73	,	-2.633	,
pio,,,y,y,n,n,		,pe,samer,itc1,pe155,	-76.22	,	-13.7	,
pip,,,y,y,n,y,	ak	,us,namer,itc1,us111,	-157.6	,	57.57	,
piq,,,y,y,n,n,		,gy,samer,itc1,gy,	-60.33	,	5.333	,
pir,,,y,y,n,y,	sd	,us,namer,itc1,us107,	-100.3	,	44.38	,
pis,,,y,y,n,y,		,fr,europ,itc2,fr052,	0.3	,	46.58	,
pit,,,y,y,n,y,	pa	,us,namer,itc1,us105,	-80.23	,	40.48	,
piu,,,y,y,n,y,		,pe,samer,itc1,pe155,	-80.62	,	-5.2	,
piv,,,y,y,n,n,	mg	,br,samer,itc1,br015,	-44.93	,	-17.33	,
piw,,,y,y,n,y,	mb	,ca,namer,itc1,ca027,	-97.15	,	55.58	,
pix,,,y,y,n,y,		,pt,europ,itc2,pt158,	-28.33	,	38.47	,
piz,,,y,y,n,y,	ak	,us,namer,itc1,us111,	-163	,	69.73	,
pja,,,y,y,n,y,		,se,europ,itc2,se095,	16.5	,	57.35	,
pjb,,,y,y,n,n,	az	,us,namer,itc1,us109,	-111.3	,	34.23	,
pjc,,,y,y,n,n,		,py,samer,itc1,py093,	-55.73	,	-22.5	,
pjg,,,y,y,n,y,		,pk,asia,itc3,pk163,	64.13	,	26.95	,
pjm,,,y,y,n,y,		,cr,camer,itc1,cr036,	-83.32	,	8.55	,
pjs,,,y,y,n,n,	ak	,us,namer,itc1,us111,	-148.1	,	60.05	,
pjz,,,y,y,n,n,		,mx,namer,itc1,mx168,	-86.82	,	21.17	,
pka,,,y,y,n,y,	ak	,us,namer,itc1,us111,	-161.7	,	60.7	,
pkb,,,y,y,n,y,	wv	,us,namer,itc1,us105,	-81.43	,	39.35	,
pkc,,,y,y,n,y,		,ru,euras,itc2,ru148,	158.7	,	53.02	,
pkd,,,y,y,n,n,	mn	,us,namer,itc1,us107,	-95.07	,	46.9	,
pke,,,y,y,n,y,	ns	,au,austl,itc3,au007,	148.2	,	-33.13	,
pkf,,,y,y,n,n,	wi	,us,namer,itc1,us107,	-90.43	,	45.93	,
pkg,,,y,y,n,y,		,my,seasi,itc3,my,	100.7	,	4.85	,
pkh,,,y,y,n,n,		,gr,europ,itc2,gr058,	23.15	,	37.3	,
pkj,,,y,y,n,n,		,gt,camer,itc1,gt119,	-90.76	,	15.64	,
pkk,,,y,y,n,y,		,mm,seasi,itc3,mm,	95.1	,	21.33	,
pkl,,,y,y,n,n,		,nz,austl,itc3,nz084,	174.2	,	-36.35	,
pkm,,,y,y,n,n,		,gy,samer,itc1,gy,	-59.63	,	8.333	,
pkn,,,y,y,n,n,		,id,seasi,itc3,id061,	111.7	,	-2.7	,
pko,,,y,y,n,n,		,bj,afric,itc2,bj,	2.617	,	9.35	,
pkp,,,y,y,n,y,		,pf,pacif,itc3,pf087,	-139	,	-15	,
pkr,,,y,y,n,y,		,np,asia,itc3,np,	83.87	,	28.23	,
pks,,,y,y,n,n,		,la,seasi,itc3,la,	103.7	,	18.37	,
pkt,,,y,y,n,n,	nt	,au,austl,itc3,au010,	129.5	,	-14.25	,
pku,,,y,y,n,y,		,id,seasi,itc3,id061,	101.5	,	0.4667	,
pkv,,,y,y,n,n,		,ru,euras,itc2,ru130,	28.3	,	57.82	,
pkw,,,y,y,n,n,		,bw,afric,itc2,bw,	26.92	,	-22.88	,
pky,,,y,y,n,y,		,id,seasi,itc3,id061,	113.9	,	-2.217	,
pkz,,,y,y,n,y,		,la,seasi,itc3,la,	105.8	,	15.13	,
pla,,,y,y,n,n,		,co,samer,itc1,co132,	-75.7	,	3.3	,
plb,,,y,y,n,n,	ny	,us,namer,itc1,us105,		,		,
plc,,,y,y,n,n,		,co,samer,itc1,co132,	-75.6	,	8.4	,
pld,,,y,y,n,y,		,cr,camer,itc1,cr036,	-85.42	,	10.25	,
ple,,,y,y,n,n,		,pg,austl,itc3,pg,	147	,	-6.717	,
plf,,,y,y,n,n,		,td,afric,itc2,td,	14.93	,	9.383	,
plg,,,y,y,n,n,		,fr,europ,itc2,fr052,	6.75	,	45.57	,
plh,,,y,y,n,y,		,gb,europ,itc2,gb053,	-4.117	,	50.42	,
pli,,,y,y,n,n,		,vc,carib,itc1,vc,	-61.38	,	12.58	,
plj,,,y,y,n,y,		,bz,camer,itc1,bz,	-88.35	,	16.53	,
plk,,,y,y,n,n,	mo	,us,namer,itc1,us107,	-93.22	,	36.62	,
pll,,,y,y,n,n,	am	,br,samer,itc1,br018,	-60.08	,	-3.167	,
plm,,,y,y,n,y,		,id,seasi,itc3,id061,	104.7	,	-2.9	,
pln,,,y,y,n,y,	mi	,us,namer,itc1,us105,	-84.8	,	45.57	,
plo,,,y,y,n,y,	sa	,au,austl,itc3,au009,	135.9	,	-34.6	,
plp,,,y,y,n,n,		,pa,camer,itc1,pa,	-78.13	,	8.367	,
plq,,,y,y,n,y,		,lt,eeuro,itc2,lt125,	21.05	,	55.92	,
plr,,,y,y,n,n,	al	,us,namer,itc1,us107,	-86.28	,	33.58	,
pls,,,y,y,n,y,		,tc,carib,itc1,tc099,	-72.27	,	21.77	,
plt,,,y,y,n,n,		,co,samer,itc1,co132,	-74.78	,	9.8	,
plu,bhz,,y,n,n,y,	mg	,br,samer,itc1,br015,	-43.75	,	-19.75	,
plv,,,y,y,n,n,		,ua,euras,itc2,ua127,	34.53	,	49.58	,
plw,,,y,y,n,y,		,id,seasi,itc3,id062,	119.8	,	-0.8333	,
plx,,,y,y,n,y,		,kz,euras,itc3,kz164,	80.25	,	50.33	,
ply,,,y,y,n,n,	in	,us,namer,itc1,us105,	-86.3	,	41.37	,
plz,,,y,y,n,y,		,za,afric,itc2,za,	25.62	,	-33.98	,
pma,,,y,y,n,y,		,tz,afric,itc2,tz,	39.8	,	-5.233	,
pmb,,,y,y,n,n,	nd	,us,namer,itc1,us107,	-97.23	,	48.95	,
pmc,,,y,y,n,y,		,cl,samer,itc1,cl033,	-72.85	,	-41.48	,
pmd,,,y,y,n,y,	ca	,us,namer,itc1,us110,	-118.1	,	34.63	,
pme,,,y,y,n,y,		,gb,europ,itc2,gb053,	-1.05	,	50.83	,
pmf,mil,,y,n,n,y,		,it,europ,itc2,it067,	10.33	,	44.8	,
pmg,,,y,y,n,n,	ms	,br,samer,itc1,br017,	-55.65	,	-22.45	,
pmh,,,y,y,n,n,	oh	,us,namer,itc1,us105,	-82.85	,	38.83	,
pmi,,,y,y,n,y,		,es,europ,itc2,es045,	2.733	,	39.55	,
pmk,,,y,y,n,y,	ql	,au,austl,itc3,au131,	146.7	,	-18.08	,
pml,,,y,y,n,y,	ak	,us,namer,itc1,us111,	-160.5	,	55.98	,
pmm,,,y,y,n,n,		,th,seasi,itc3,th,	101.4	,	13.75	,
pmn,,,y,y,n,n,		,pg,austl,itc3,pg,	149.5	,	-9.817	,
pmo,,,y,y,n,y,		,it,europ,itc2,it067,	13.35	,	38.12	,
pmp,,,y,y,n,n,		,pg,austl,itc3,pg,	143.6	,	-6.367	,
pmq,,,y,y,n,n,	sc	,ar,samer,itc1,ar003,	-70.98	,	-46.53	,
pmr,,,y,y,n,y,		,nz,austl,itc3,nz084,	175.6	,	-40.32	,
pms,,,y,y,n,n,		,sy,meast,itc2,sy098,	38.3	,	34.57	,
pmt,,,y,y,n,n,		,gy,samer,itc1,gy,	-59.55	,	4.833	,
pmu,,,y,y,n,n,	ak	,us,namer,itc1,us111,	-163.8	,	69.03	,
pmv,,,y,y,n,y,		,ve,samer,itc1,ve194,	-63.83	,	10.97	,
pmw,,,y,y,n,y,	to	,br,samer,itc1,br016,	-48.35	,	-10.24	,
pmx,,,n,y,n,n,	ma	,us,namer,itc1,us105,	-72.32	,	42.15	,
pmy,,,y,y,n,y,	cb	,ar,samer,itc1,ar003,	-65.07	,	-42.73	,
pmz,,,y,y,n,y,		,cr,camer,itc1,cr036,	-83.48	,	8.95	,
pna,,,y,y,n,y,		,es,europ,itc2,es045,	-1.633	,	42.77	,
pnb,,,y,y,n,n,	to	,br,samer,itc1,br016,	-48.4	,	-10.72	,
pnc,,,y,y,n,n,	ok	,us,namer,itc1,us107,	-97.1	,	36.73	,
pnd,,,y,y,n,y,		,bz,camer,itc1,bz,	-88.7	,	16.17	,
pne,phl,,y,n,n,n,	pa	,us,namer,itc1,us105,	-75.02	,	40.08	,
pnf,,,y,y,n,n,	ak	,us,namer,itc1,us111,	-156.8	,	58.68	,
png,,,y,y,n,n,	pr	,br,samer,itc1,br015,	-48.5	,	-25.52	,
pnh,,,y,y,n,y,		,kh,seasi,itc3,kh,	104.9	,	11.55	,
pni,,,y,y,n,y,		,fm,pacif,itc3,fm050,	158.2	,	7.017	,
pnj,,,y,y,n,n,		,cn,asia,itc3,cn035,	120.8	,	37.81	,
pnk,,,y,y,n,y,		,id,seasi,itc3,id061,	109.4	,	-0.05	,
pnl,,,y,y,n,y,		,it,europ,itc2,it067,	11.97	,	36.82	,
pnn,,,y,y,n,n,	me	,us,namer,itc1,us105,	-67.57	,	45.2	,
pno,,,y,y,n,n,		,mx,namer,itc1,mx168,	-98.07	,	16.35	,
pnp,,,y,y,n,y,		,pg,austl,itc3,pg,	148.2	,	-8.767	,
pnq,,,y,y,n,y,		,in,asia,itc3,in,	73.92	,	18.58	,
pnr,,,y,y,n,y,		,cg,afric,itc2,cg,	11.88	,	-4.817	,
pns,,,y,y,n,y,	fl	,us,namer,itc1,us107,	-87.18	,	30.47	,
pnt,,,y,y,n,y,		,cl,samer,itc1,cl033,	-72.52	,	-51.68	,
pnu,,,y,y,n,n,	ut	,us,namer,itc1,us108,	-112.4	,	37.83	,
pnv,,,y,y,n,n,		,lt,eeuro,itc2,lt125,	-11.13	,	46.07	,
pnx,,,y,y,n,n,	tx	,us,namer,itc1,us107,	-96.58	,	33.63	,
pny,,,y,y,n,n,		,in,asia,itc3,in,	79.88	,	11.93	,
pnz,,,y,y,n,y,	pe	,br,samer,itc1,br016,	-40.5	,	-9.383	,
poa,,,y,y,n,y,	rs	,br,samer,itc1,br015,	-51.18	,	-30.07	,
pob,fay,,y,n,n,n,	nc	,us,namer,itc1,us105,	-78.88	,	35	,
poc,,,y,y,n,n,	ca	,us,namer,itc1,us110,	-117.8	,	34.08	,
pod,,,y,y,n,n,		,sn,afric,itc2,sn,	-14.97	,	16.67	,
poe,,,y,y,n,n,	la	,us,namer,itc1,us107,	-93.19	,	31.04	,
pof,,,y,y,n,n,	mo	,us,namer,itc1,us107,	-90.5	,	36.75	,
pog,,,y,y,n,y,		,ga,afric,itc2,ga,	8.75	,	-0.7167	,
poh,,,y,y,n,n,	ia	,us,namer,itc1,us107,	-94.65	,	42.75	,
poi,,,y,y,n,n,		,bo,samer,itc1,bo,	-65.75	,	-19.53	,
poj,,,y,y,n,n,	mg	,br,samer,itc1,br015,	-46.48	,	-18.67	,
pol,,,y,y,n,y,		,mz,afric,itc2,mz,	40.53	,	-12.98	,
pom,,,y,y,n,y,		,pg,austl,itc3,pg,	147.2	,	-9.433	,
pon,,,y,y,n,n,		,gt,camer,itc1,gt119,	-89.43	,	16.35	,
poo,,,y,y,n,n,	mg	,br,samer,itc1,br015,	-46.57	,	-21.83	,
pop,,,y,y,n,y,		,do,carib,itc1,do174,	-70.67	,	19.8	,
poq,,,y,y,n,n,	ak	,us,namer,itc1,us111,	-132.5	,	55.35	,
por,,,y,y,n,y,		,fi,europ,itc2,fi047,	21.8	,	61.47	,
pos,,,y,y,n,y,		,tt,carib,itc1,tt,	-61.35	,	10.58	,
pot,,,y,y,n,n,		,jm,carib,itc1,jm,	-76.45	,	18.17	,
pou,,,y,y,n,n,	ny	,us,namer,itc1,us105,	-73.88	,	41.63	,
pov,,,y,y,n,n,		,sk,eeuro,itc2,sk156,	14.43	,	50.08	,
pow,,,y,y,n,n,		,si,europ,itc2,si153,	13.6	,	45.52	,
pox,par,,y,n,n,n,		,fr,europ,itc2,fr052,	2.083	,	49.05	,
poy,,,y,y,n,n,	wy	,us,namer,itc1,us108,	-108.8	,	44.87	,
poz,,,y,y,n,y,		,pl,eeuro,itc2,pl089,	16.83	,	52.42	,
ppa,,,y,y,n,n,	tx	,us,namer,itc1,us107,	-101	,	35.53	,
ppb,,,y,y,n,y,	sp	,br,samer,itc1,br015,	-51.4	,	-22.17	,
ppc,,,y,y,n,n,	ak	,us,namer,itc1,us111,	-150.6	,	66.8	,
ppd,huc,,y,n,n,n,		,pr,carib,itc1,pr,	-65.82	,	18.14	,
ppe,,,y,y,n,y,		,mx,namer,itc1,mx097,	-113.5	,	31.35	,
ppf,,,y,y,n,n,	ks	,us,namer,itc1,us107,	-95.5	,	37.33	,
ppg,,,y,y,n,y,		,as,austl,itc3,as,	-170.7	,	-14.33	,
pph,,,y,y,n,n,		,ve,samer,itc1,ve194,	-61.48	,	4.567	,
ppi,,,y,y,n,n,	sa	,au,austl,itc3,au009,	138	,	-33.23	,
ppj,,,y,y,n,n,		,id,seasi,itc3,id061,	106.6	,	-6.35	,
ppk,,,y,y,n,y,		,kz,euras,itc3,kz164,	69.18	,	54.78	,
ppl,,,y,y,n,y,		,np,asia,itc3,np,	86.6	,	27.52	,
ppm,,,y,y,n,n,	fl	,us,namer,itc1,us105,	-80.12	,	26.23	,
ppn,,,y,y,n,y,		,co,samer,itc1,co132,	-76.62	,	2.45	,
ppo,,,y,y,n,n,		,bs,carib,itc1,bs021,	-76.33	,	24.83	,
ppp,,,y,y,n,y,	ql	,au,austl,itc3,au131,	148.6	,	-20.48	,
ppq,,,y,y,n,n,		,nz,austl,itc3,nz084,	175	,	-40.9	,
ppr,,,y,y,n,n,		,id,seasi,itc3,id061,	100.4	,	0.8333	,
pps,,,y,y,n,y,		,ph,pacif,itc3,ph,	118.8	,	9.733	,
ppt,,,y,y,n,y,		,pf,pacif,itc3,pf087,	-149.6	,	-17.55	,
ppu,,,y,y,n,n,		,mm,seasi,itc3,mm,	97.45	,	18.07	,
ppv,,,y,y,n,y,	ak	,us,namer,itc1,us111,	-133.7	,	56.33	,
ppw,,,y,y,n,n,		,gb,europ,itc2,gb053,	-2.75	,	59.42	,
ppx,,,y,y,n,n,		,pg,austl,itc3,pg,	149.6	,	-9.983	,
ppy,,,y,y,n,n,	mg	,br,samer,itc1,br015,	-55.13	,	-22.28	,
ppz,,,y,y,n,n,		,ve,samer,itc1,ve194,	-67.45	,	6.2	,
pqc,,,y,y,n,y,		,vn,seasi,itc3,vn,	104	,	10.23	,
pqi,,,y,y,n,y,	me	,us,namer,itc1,us105,	-68.05	,	46.68	,
pqm,,,y,y,n,n,		,mx,namer,itc1,mx168,	-92	,	17.5	,
pqq,,,y,y,n,y,	ns	,au,austl,itc3,au007,	152.9	,	-31.63	,
pqs,,,y,y,n,y,	ak	,us,namer,itc1,us111,	-162.9	,	61.93	,
pra,,,y,y,n,y,	er	,ar,samer,itc1,ar003,	-60.48	,	-31.78	,
prb,,,y,y,n,n,	ca	,us,namer,itc1,us110,	-120.6	,	35.67	,
prc,,,y,y,n,y,	az	,us,namer,itc1,us109,	-112.4	,	34.65	,
prd,,,y,y,n,n,	wa	,au,austl,itc3,au011,	119.6	,	-20.13	,
pre,,,y,y,n,n,		,co,samer,itc1,co132,	-71.98	,	5.733	,
prf,,,y,y,n,n,	ak	,us,namer,itc1,us111,	-132.1	,	55.12	,
prg,,,y,y,n,y,		,cz,eeuro,itc2,cz037,	14.43	,	50.07	,
prh,,,y,y,n,n,		,th,seasi,itc3,th,	100	,	18.12	,
pri,,,y,y,n,y,		,sc,iocea,itc2,sc,	55.73	,	-4.317	,
prj,,,y,y,n,n,		,it,europ,itc2,it067,	14.23	,	40.58	,
prk,,,y,y,n,n,		,za,afric,itc2,za,	22.7	,	-29.67	,
prl,,,y,y,n,n,	ak	,us,namer,itc1,us111,	-147.8	,	60.2	,
prm,,,y,y,n,n,		,pt,europ,itc2,pt092,	-8.533	,	37.13	,
prn,,,y,y,n,y,		,rs,europ,itc2,rs189,	21.05	,	42.57	,
pro,,,y,y,n,n,	ia	,us,namer,itc1,us107,	-94.1	,	41.83	,
prp,,,y,y,n,n,		,fr,europ,itc2,fr052,	8.9	,	41.67	,
prq,,,y,y,n,n,	ch	,ar,samer,itc1,ar003,	-60.27	,	-26.77	,
prr,,,y,y,n,n,		,gy,samer,itc1,gy,	-61.02	,	5.817	,
prs,,,y,y,n,n,		,sb,austl,itc3,sb,	161.4	,	-9.717	,
prt,,,y,y,n,n,	ak	,us,namer,itc1,us111,	-145.7	,	60.54	,
pru,,,y,y,n,n,		,mm,seasi,itc3,mm,	95.22	,	18.93	,
prv,,,y,y,n,y,		,cz,eeuro,itc2,cz037,	17.47	,	49.48	,
prw,,,y,y,n,n,	wi	,us,namer,itc1,us107,	-90.28	,	45.55	,
prx,,,y,y,n,n,	tx	,us,namer,itc1,us107,	-95.45	,	33.63	,
pry,,,y,y,n,n,		,za,afric,itc2,za,	28.22	,	-25.65	,
prz,,,y,y,n,n,	or	,us,namer,itc1,us110,	-120.9	,	44.3	,
psa,,,y,y,n,y,		,it,europ,itc2,it067,	10.4	,	43.68	,
psb,,,y,y,n,n,	pa	,us,namer,itc1,us105,	-79.92	,	40.85	,
psc,,,y,y,n,y,	wa	,us,namer,itc1,us110,	-119.1	,	46.27	,
psd,,,y,y,n,y,		,eg,afric,itc2,eg044,	32.23	,	31.28	,
pse,,,y,y,n,y,		,pr,carib,itc1,pr,	-66.4	,	17.98	,
psf,,,y,y,n,n,	ma	,us,namer,itc1,us105,	-73.3	,	42.43	,
psg,,,y,y,n,y,	ak	,us,namer,itc1,us111,	-133	,	56.8	,
psh,,,y,y,n,n,		,de,europ,itc2,de040,	8.683	,	54.32	,
psi,,,y,y,n,n,		,pk,asia,itc3,pk163,	63.37	,	25.3	,
psj,,,y,y,n,n,		,id,seasi,itc3,id062,	120.7	,	-1.383	,
psk,,,y,y,n,n,	va	,us,namer,itc1,us105,	-80.68	,	37.12	,
psl,,,y,y,n,n,		,gb,europ,itc2,gb053,	-3.467	,	56.4	,
psm,bos,,y,n,n,n,	nh	,us,namer,itc1,us105,	-70.78	,	43.05	,
psn,,,y,y,n,n,	tx	,us,namer,itc1,us107,	-95.63	,	31.77	,
pso,,,y,y,n,y,		,co,samer,itc1,co132,	-77.25	,	1.467	,
psp,,,y,y,n,y,	ca	,us,namer,itc1,us110,	-116.5	,	33.83	,
psq,phl,,y,n,n,n,	pa	,us,namer,itc1,us105,	-75.55	,	39.73	,
psr,,,y,y,n,y,		,it,europ,itc2,it067,	14.22	,	42.47	,
pss,,,y,y,n,y,	mi	,ar,samer,itc1,ar003,	-55.95	,	-27.42	,
pst,,,y,y,n,n,		,cu,carib,itc1,cu038,	-75.65	,	20.75	,
psu,,,y,y,n,n,		,id,seasi,itc3,id062,	112.9	,	0.8333	,
psv,,,y,y,n,n,		,gb,europ,itc2,gb053,	-1.15	,	60.15	,
psw,,,y,y,n,n,	mg	,br,samer,itc1,br015,	-46.62	,	-20.72	,
psx,,,y,y,n,n,	tx	,us,namer,itc1,us107,	-96.22	,	28.7	,
psy,,,y,y,n,n,		,fk,atlan,itc1,fk048,	-59	,	-51.75	,
psz,,,y,y,n,y,		,bo,samer,itc1,bo,	-57.87	,	-18.97	,
pta,,,y,y,n,y,	ak	,us,namer,itc1,us111,	-154.3	,	60.2	,
ptb,,,y,y,n,n,	va	,us,namer,itc1,us105,	-77.52	,	37.18	,
ptc,,,y,y,n,n,	ak	,us,namer,itc1,us111,	-133.6	,	55.78	,
ptd,,,y,y,n,n,	ak	,us,namer,itc1,us111,	-134.7	,	56.25	,
pte,,,y,y,n,n,	ns	,au,austl,itc3,au007,	153.8	,	-32.75	,
ptf,,,y,y,n,y,		,fj,austl,itc3,fj169,	177.2	,	-17.78	,
ptg,,,y,y,n,y,		,za,afric,itc2,za,	29.47	,	-23.92	,
pth,,,y,y,n,y,	ak	,us,namer,itc1,us111,	-158.6	,	56.97	,
pti,,,n,y,n,n,	ql	,au,austl,itc3,au131,	145.5	,	-16.48	,
ptj,,,y,y,n,n,	vi	,au,austl,itc3,au007,	141.6	,	-38.38	,
ptk,,,y,y,n,n,	mi	,us,namer,itc1,us105,	-83.4	,	42.67	,
ptl,,,y,y,n,n,	ak	,us,namer,itc1,us111,	-134.7	,	56.28	,
ptm,,,y,y,n,n,		,ve,samer,itc1,ve194,	-70.18	,	7.567	,
ptn,,,y,y,n,n,	la	,us,namer,itc1,us107,	-91.3	,	29.75	,
pto,,,y,y,n,n,	pr	,br,samer,itc1,br015,	-52.67	,	-26.22	,
ptp,,,y,y,n,y,		,gp,carib,itc1,gp,	-61.53	,	16.27	,
ptq,,,y,y,n,n,	pa	,br,samer,itc1,br016,	-52.23	,	-1.733	,
ptr,,,y,y,n,n,	ak	,us,namer,itc1,us111,	-153.3	,	57.83	,
pts,,,y,y,n,n,	ks	,us,namer,itc1,us107,	-94.73	,	37.45	,
ptt,,,y,y,n,n,	ks	,us,namer,itc1,us107,	-98.75	,	37.7	,
ptu,,,y,y,n,y,	ak	,us,namer,itc1,us111,	-161.8	,	59.02	,
ptv,,,y,y,n,n,	ca	,us,namer,itc1,us110,	-119.1	,	36.03	,
ptw,,,y,y,n,n,	pa	,us,namer,itc1,us105,	-75.65	,	40.23	,
ptx,,,y,y,n,n,		,co,samer,itc1,co132,	-76.03	,	1.85	,
pty,,,y,y,n,y,		,pa,camer,itc1,pa,	-79.53	,	8.967	,
ptz,,,y,y,n,n,		,ec,samer,itc1,ec042,	-78.03	,	-1.517	,
pua,,,y,y,n,n,		,pg,austl,itc3,pg,	150.2	,	-2.4	,
pub,,,y,y,n,y,	co	,us,namer,itc1,us108,	-104.5	,	38.28	,
puc,,,y,y,n,n,	ut	,us,namer,itc1,us108,	-110.8	,	39.6	,
pud,,,y,y,n,n,	sc	,ar,samer,itc1,ar003,	-65.92	,	-47.72	,
pue,,,y,y,n,n,		,pa,camer,itc1,pa,	-77.53	,	8.683	,
puf,,,y,y,n,y,		,fr,europ,itc2,fr052,	-0.4167	,	43.3	,
pug,,,y,y,n,n,	sa	,au,austl,itc3,au009,	135.9	,	-32.83	,
puh,,,y,y,n,n,		,mx,namer,itc1,mx168,	-96.47	,	15.7	,
pui,,,y,y,n,n,		,pg,austl,itc3,pg,	142.8	,	-5.833	,
puj,,,y,y,n,y,		,do,carib,itc1,do174,	-68.38	,	18.57	,
puk,,,y,y,n,y,		,pf,pacif,itc3,pf087,	-136	,	-18.13	,
pul,,,y,y,n,n,	wa	,us,namer,itc1,us110,	-122.7	,	47.73	,
pum,,,y,y,n,n,		,id,seasi,itc3,id062,	119.8	,	-3.667	,
pun,,,y,y,n,n,		,cd,afric,itc2,cd167,	26.33	,	-1.367	,
puo,,,y,y,n,n,	ak	,us,namer,itc1,us111,	-148.4	,	70.33	,
puq,,,y,y,n,y,		,cl,samer,itc1,cl033,	-70.88	,	-53.1	,
pur,,,y,y,n,n,		,bo,samer,itc1,bo,	-67.5	,	-11.12	,
pus,,,y,y,n,y,		,kr,asia,itc3,kr,	129.1	,	35.17	,
put,,,y,y,n,n,		,in,asia,itc3,in,	77.78	,	14.13	,
puu,,,y,y,n,y,		,co,samer,itc1,co132,	-76.42	,	0.5	,
puv,,,y,y,n,n,		,nc,austl,itc3,nc165,	164	,	-20.23	,
puw,,,y,y,n,y,	wa	,us,namer,itc1,us110,	-117.1	,	46.75	,
pux,,,y,y,n,n,		,cl,samer,itc1,cl033,	-72.93	,	-40.33	,
puy,,,y,y,n,y,		,hr,eeuro,itc2,hr152,	13.92	,	44.88	,
puz,,,y,y,n,n,		,ni,camer,itc1,ni193,	-83.38	,	14.05	,
pva,,,y,y,n,y,		,co,samer,itc1,co132,	-81.35	,	13.35	,
pvc,,,y,y,n,y,	ma	,us,namer,itc1,us105,	-70.22	,	42.07	,
pvd,,,y,y,n,y,	ri	,us,namer,itc1,us105,	-71.43	,	41.73	,
pve,,,y,y,n,n,		,pa,camer,itc1,pa,	-79	,	9.583	,
pvf,,,y,y,n,n,	ca	,us,namer,itc1,us110,	-120.8	,	38.72	,
pvg,sha,,y,n,n,y,		,cn,asia,itc3,cn035,	121.8	,	31.14	,
pvh,,,y,y,n,y,	ro	,br,samer,itc1,br018,	-63.9	,	-8.75	,
pvi,,,y,y,n,n,	pr	,br,samer,itc1,br015,	-52.47	,	-23.07	,
pvk,,,y,y,n,y,		,gr,europ,itc2,gr058,	20.75	,	38.92	,
pvn,,,y,y,n,n,		,bg,eeuro,itc2,bg013,	24.5	,	42	,
pvo,,,y,y,n,n,		,ec,samer,itc1,ec042,	-80.47	,	-1.033	,
pvr,,,y,y,n,y,		,mx,namer,itc1,mx168,	-105.3	,	20.68	,
pvs,,,y,y,n,n,		,ru,euras,itc2,ru148,	173.3	,	64.38	,
pvu,,,y,y,n,n,	ut	,us,namer,itc1,us108,	-111.7	,	40.23	,
pvw,,,y,y,n,n,	tx	,us,namer,itc1,us107,	-101.7	,	34.17	,
pvx,,,y,y,n,n,		,ru,euras,itc2,ru148,	173.2	,	64.37	,
pvy,,,y,y,n,n,	ak	,us,namer,itc1,us111,	-154.9	,	59.32	,
pvz,,,y,y,n,n,	oh	,us,namer,itc1,us105,	-81.22	,	41.73	,
pwa,okc,,y,n,n,n,	ok	,us,namer,itc1,us107,	-97.67	,	35.53	,
pwd,,,y,y,n,n,	mt	,us,namer,itc1,us108,	-104.6	,	48.77	,
pwe,,,y,y,n,y,		,ru,euras,itc2,ru148,	170.6	,	69.78	,
pwi,,,y,y,n,n,		,et,afric,itc2,et,	36.42	,	11.33	,
pwk,chi,,y,n,n,y,	il	,us,namer,itc1,us107,	-87.9	,	42.12	,
pwl,,,y,y,n,n,		,id,seasi,itc3,id061,	109.4	,	-7.45	,
pwm,,,y,y,n,y,	me	,us,namer,itc1,us105,	-70.3	,	43.65	,
pwn,,,y,y,n,n,		,bs,carib,itc1,bs021,	-74.35	,	22.83	,
