AJN	AJN	Ouani Airport	Anjouan		KM	120735S	0442547E	0	A
AJO	AJO	Aljouf Airport	Aljouf		YE	154300N	0441500E	0	A
AJR	AJR	Arvidsjaur Airport	Arvidsjaur		SE	653529N	0191708E	0	A
AJS	AJS	Abreojos Airport	Abreojos		MX	265000N	1134000W	3	A
AJU	AJU	Aracaju Airport	Aracaju	SE	BR	105900S	0370300W	1A	A
AJY	AJY	Agades Airport	Agades		NE	165751N	0075935E	0	A
AKA	AKA	Ankang Airport	Ankang		CN	324000N	1091200E	0	A
AKB	AKB	Atka Airport	Atka	AK	US	521302N	1741203W	6	A
AKC	CAK	Fulton International Airport	Akron/Canton	OH	US	410224N	0812804W	1	A
AKD	AKD	Akola Airport	Akola		IN	204000N	0770500E	0	A
AKE	AKE	Akieni Airport	Akieni		GA	011020S	0135500E	0	A
AKF	AKF	Kufrah Airport	Kufrah		LY	241200N	0232000E	0	A
AKG	AKG	Anguganak Airport	Anguganak		PG	033800S	1420100E	0	A
AKH	AKH	Prince Sultan Air Base	Al Kharj		SA	240348N	0473450E	0	M
AKI	AKI	Akiak Airport	Akiak	AK	US	605420N	1611324W	5	A
AKJ	AKJ	Asahikawa Airport	Asahikawa		JP	434000N	1422700E	0	A
AKK	AKK	Akhiok Sea Plane Base	Akhiok	AK	US	565640N	1541000W	5	S
AKL	AKL	Auckland International Airport	Auckland		NZ	370040S	1744757E	1	A
AKM	AKM	Zakouma Airport	Zakouma		TD	105300N	0194900E	0	A
AKN	AKN	King Salmon Airport	King Salmon	AK	US	584007N	1563808W	5	A
AKO	AKO	Washington County Airport	Akron	CO	US	401000N	1031300W	3	A
AKP	AKP	Anaktuvuk Airport	Anaktuvuk	AK	US	680815N	1514424W	5	A
AKQ	AKQ	Gunung Batin Airport	Astraksetra		ID	043700S	1051400E	1	A
AKR	AKR	Akure Airport	Akure		NG	071500N	0050500E	0	A
AKS	AKS	Gwaunaru'u Airport	Auki		SB	084152S	1604051E	0	A
AKT	AKT	Akrotiri Royal Air Force	Akrotiri		CY	343500N	0325900E	0	M
AKU	AKU	Aksu Airport	Aksu		CN	411000N	0802000E	0	A
AKV	AKV	Akulivik Airport	Akulivik	QC	CA	604400N	0783500W	3	A
AKW	AKW	Aghajari Airport	Aghajari		IR	304500N	0494100E	0	A
AKX	AKX	Aktyubinsk Airport	Aktyubinsk		KZ	501500N	0571300E	1	A
AKY	AKY	Civil Airport	Sittwe		MM	200749N	0925249E	0	A
ALA	ALA	Almaty Airport	Almaty		KZ	432100N	0770200E	2	A
ALB	ALB	Albany International Airport	Albany	NY	US	424445N	0734819W	1	A
ALC	ALC	Alicante Airport	Alicante	SP	ES	381700N	0003400W	1	A
ALD	ALD	Alerta Airport	Alerta		PE	114100S	0692000W	0	A
ALE	ALE	Alpine Airport	Alpine	TX	US	302500N	1034500W	2	A
ALF	ALF	Alta Airport	Alta		NO	695834N	0232250E	0	A
ALG	ALG	Houari Boumediene Airport	Algiers		DZ	364136N	0031302E	0	A
ALH	ALH	Albany Airport	Albany	WA	AU	345642S	1174821E	4	A
ALI	ALI	Alice International Airport	Alice	TX	US	274500N	0980400W	2	A
ALJ	ALJ	Kortdoorn Airport	Alexander Bay		ZA	283402S	0163211E	0	A
ALK	ALK	Asela Airport	Asela		ET	075800N	0390700E	0	A
ALL	ALL	Albenga Airport	Albenga		IT	440300N	0081300E	0	A
ALM	ALM	Alamogordo Municipal Airport	Alamogordo	NM	US	325045N	1055907W	3	A
ALN	ALN	Alton Airport	Alton	IL	US	385330N	0900254W	2	A
ALO	ALO	Waterloo Airport	Waterloo	IA	US	423322N	0922359W	2	A
ALP	ALP	Nejrab Airport	Aleppo		SY	361051N	0371336E	0	A
ALQ	ALQ	Federal Airport	Alegrete	RS	BR	294759S	0554548W	1	A
ALR	ALR	Alexandra Airport	Alexandra		NZ	451250S	1692210E	1	A
ALS	ALS	Alamosa Municipal Airport	Alamosa	CO	US	372612N	1055200W	3	A
ALT	ALT	Alenquer Airport	Alenquer	PA	BR	015600S	0544600W	1A	A
ALU	ALU	Alula Airport	Alula		SO	115800N	0504800E	0	A
ALV	ALV	Andorra La Vella Heliport	Andorra La Vella		AD	423000N	0013100E	0	H
ALW	ALW	Walla Walla Airport	Walla Walla	WA	US	460541N	1181728W	4	A
ALX	ALX	Thomas C Russell Field	Alexander City	AL	US	325600N	0855700W	2	A
ALY	ALY	El Nohza Airport	Alexandria		EG	311200N	0295400E	0	A
ALZ	ALZ	Alitak Sea Plane Base	Alitak	AK	US	565345N	1541445W	5	S
AMA	AMA	Amarillo International Airport	Amarillo	TX	US	351338N	1014319W	2	A
AMB	AMB	Ambilobe Airport	Ambilobe		MG	131100S	0485900E	0	A
AMC	AMC	Am Timan Airport	Am Timan		TD	110200N	0201700E	0	A
AMD	AMD	Ahmedabad Airport	Ahmedabad		IN	230359N	0723727E	0	A
AME	AME	Alto Molocue Airport	Alto Molocue		MZ	155000S	0373500E	0	A
AMF	AMF	Ama Airport	Ama		PG	041000S	1414000E	0	A
AMG	AMG	Amboin Airport	Amboin		PG	043700S	1434200E	0	A
AMH	AMH	Arba Mintch Airport	Arba Mintch		ET	060210N	0373437E	0	A
AMI	AMI	Selaparang Airport	Mataram		ID	083336S	1160549E	2	A
AMJ	AMJ	Almenara Airport	Almenara	MG	BR	161100S	0404100W	1	A
AMK	DRO	Animas Airpark	Durango	CO	US	370900N	1074500W	3	A
AML	AML	Puerto Armuelles Airport	Puerto Armuelles		PA	081600N	0825200W	0	A
AMM	AMM	Queen Alia International Airport	Amman		JO	314300N	0360000E	0	A
AMN	AMN	Gratiot Community Airport	Alma	MI	US	432300N	0843900W	1	A
AMO	AMO	Mao Airport	Mao		TD	140700N	0151900E	0	A
AMP	AMP	Ampanihy Airport	Ampanihy		MG	244200S	0444400E	0	A
AMQ	AMQ	Pattimura Airport	Ambon		ID	021800S	1280500E	3	A
AMR	AMR	Arno Airport	Arno		MH	070200N	1711400E	0	A
AMS	AMS	Amsterdam-Schiphol Airport	Amsterdam		NL	521830N	0044605E	0	A
AMT	AMT	Amata Airport	Amata	NT	AU	264600S	1320200E	3A	A
AMU	AMU	Amanab Airport	Amanab		PG	033100S	1410900E	0	A
AMV	AMV	Amderma Airport	Amderma		RU	694600N	0613300E	2	A
AMW	AMW	Ames Airport	Ames	IA	US	415939N	0933706W	2	A
AMX	AMX	Ammaroo Airport	Ammaroo	NT	AU	214424S	1351424E	3A	A
AMY	AMY	Ambatomainty Airport	Ambatomainty		MG	174100S	0454000E	0	A
AMZ	AMZ	Ardmore Airport	Ardmore		NZ	370200S	1745800E	1	A
ANA	ANA	Anaheim Airport	Anaheim	CA	US	334900N	1175600W	4	A
ANB	ANB	County Airport	Anniston	AL	US	333525N	0855121W	2	A
ANC	ANC	Anchorage International Airport	Anchorage	AK	US	611009N	1495907W	5	A
AND	AND	Anderson Airport	Anderson	SC	US	342937N	0824236W	1	A
ANE	ANE	Arville Airport	Angers		FR	472800N	0003300W	0	A
ANF	ANF	Cerro Moreno Airport	Antofagasta		CL	232622S	0702634W	1	A
ANG	ANG	Brie-Champniers Airport	Angouleme		FR	454400N	0001300E	0	A
ANH	ANH	Anuha Island Resort Airport	Anuha Island Resort		SB	085900S	1603000E	0	A
ANI	ANI	Aniak Airport	Aniak	AK	US	613400N	1593200W	5	A
ANJ	ANJ	Zanaga Airport	Zanaga		CG	025100S	0135000E	0	A
ANK	ANK	Etimesgut Airport	Ankara		TR	395900N	0325000E	0	A
ANL	ANL	Andulo Airport	Andulo		AO	111500S	0171500E	0	A
